Year,GJ
2018,695195813.70
2017,674283626.40
2016,665078014.40
2015,632644273.00
2014,603311823.70
2013,600839123.10
2012,601369213.40
2011,613012821.90
2010,669066288.50
2009,650362841.40
2008,720078003.90
2007,717332966.10
2006,727737237.30
2005,696672524.60
2004,669279007.60
2003,641655257.90
2002,647311914.00
2001,650201488.70
2000,625321139.70
1999,586079128.70
1998,543043222.10
1997,501619669.10
1996,473312049.10
1995,441490199.60
1994,431078491.50
1993,411899903.90
1992,394357343.90
1991,394415250.40
1990,379028868.40
1989,356521559.70
1988,338259545.20
1987,346035098.80
1986,349069737.00
1985,324148744.40
1984,317185573.10
1983,311769904.00
1982,324395397.70
1981,327347491.30
1980,338483651.50
