Year,Population
2018,4876547
2017,4813138
2016,4762595
2015,4708040
2014,4662713
2013,4627322
2012,4602095
2011,4582385
2010,4562835
2009,4538890
2008,4497485
2007,4413647
2006,4290635
2005,4171975
2004,4080615
2003,4004605
2002,3940007
2001,3874605
2000,3812075
1999,3760480
1998,3717525
1997,3678975
1996,3641872
1995,3611645
1994,3592195
1993,3577982
1992,3561165
1991,3537550
1990,3515725
1989,3510000
1988,3522475
1987,3538755
1986,3541083
1985,3537090
1984,3534830
1983,3513650
1982,3488950
1981,3458050
1980,3417800
